iter	Passed	Remaining
0	151	150981
1	153	76480
2	155	51642
3	159	39669
4	160	32031
5	162	26893
6	163	23223
7	165	20535
8	167	18456
9	169	16769
10	170	15358
11	172	14184
12	174	13230
13	176	12398
14	178	11693
15	179	11047
16	182	10533
17	183	10021
18	185	9569
19	186	9159
20	188	8782
21	189	8439
22	191	8134
23	193	7849
24	194	7593
25	196	7365
26	198	7141
27	199	6931
28	201	6741
29	202	6557
30	204	6395
31	206	6233
32	207	6082
33	209	5943
34	211	5830
35	213	5704
36	214	5583
37	216	5470
38	217	5363
39	219	5258
40	220	5160
41	222	5070
42	224	5004
43	226	4923
44	228	4843
45	229	4764
46	231	4701
47	234	4642
48	235	4576
49	237	4513
50	239	4463
51	241	4402
52	243	4345
53	244	4286
54	246	4231
55	248	4182
56	249	4133
57	251	4081
58	260	4155
59	267	4186
60	269	4151
61	271	4109
62	273	4066
63	275	4023
64	276	3981
65	286	4048
66	287	4004
67	289	3961
68	290	3919
69	291	3878
70	293	3837
71	294	3800
72	296	3762
73	298	3731
74	300	3704
75	301	3670
76	303	3636
77	304	3601
78	306	3567
79	307	3534
80	308	3500
81	309	3470
82	310	3433
83	312	3412
84	315	3393
85	316	3366
86	318	3339
87	319	3311
88	320	3283
89	322	3257
90	323	3231
91	324	3206
92	327	3190
93	329	3176
94	331	3156
95	333	3136
96	334	3112
97	336	3100
98	338	3079
99	340	3060
100	341	3043
101	346	3046
102	347	3029
103	349	3012
104	352	3002
105	354	2990
106	356	2976
107	358	2963
108	360	2946
109	362	2932
110	364	2915
111	365	2897
112	367	2881
113	368	2865
114	370	2851
115	374	2850
116	375	2833
117	377	2819
118	379	2805
119	380	2791
120	382	2777
121	383	2759
122	385	2746
123	388	2746
124	390	2731
125	391	2716
126	392	2699
127	394	2685
128	395	2671
129	396	2656
130	398	2642
131	402	2649
132	405	2641
133	406	2628
134	408	2616
135	410	2608
136	423	2669
137	425	2657
138	427	2646
139	429	2635
140	436	2662
141	437	2645
142	439	2632
143	440	2619
144	441	2606
145	444	2599
146	446	2593
147	450	2591
148	451	2580
149	453	2569
150	454	2557
151	456	2546
152	458	2536
153	460	2530
154	462	2520
155	467	2527
156	468	2517
157	470	2506
158	472	2497
159	474	2488
160	475	2477
161	477	2468
162	479	2463
163	481	2454
164	483	2446
165	485	2438
166	486	2429
167	488	2419
168	490	2410
169	491	2400
170	494	2397
171	496	2390
172	498	2384
173	500	2375
174	501	2365
175	503	2355
176	504	2347
177	506	2338
178	509	2336
179	511	2330
180	513	2322
181	514	2314
182	516	2306
183	518	2298
184	521	2296
